Rifugiato;Annuncio;Label
Saldatura - ScuolaPrimaria;Saldatura - Competenze chiave: conoscenza dei materiali metallici, Competenze richieste: Saldatura TIG/MIG/MAG. Istruzione minima: ScuolaPrimaria. CapacitÃ  di lavorare in autonomia e problem solving. Azienda in forte crescita cerca personale qualificato.;1
Riparazione di elettrodomestici - ScuolaPrimaria;Riparazione di elettrodomestici - Competenze chiave: riparazione schede elettroniche, amperometro). Istruzione minima: ScuolaPrimaria. Aggiornamento costante sulle nuove tecnologie e strumenti del settore. Azienda in forte crescita cerca personale qualificato.;1
Manutenzione di impianti elettrici;Elettricista impianti civili e industriali - ;1
Manutenzione di impianti idraulici;Idraulico impianti residenziali e commerciali - Competenze chiave: certificazione FGAS per impianti di climatizzazione, saldatura tubi in rame e polietilene. Istruzione minima: ScuolaSecondariaSecondoGrado. Aggiornamento costante sulle nuove tecnologie e strumenti del settore. Azienda in forte crescita cerca personale qualificato.;1
Riparazione di veicoli;Meccanico veicoli - Competenze chiave: Competenze richieste: Diagnostica elettronica, riparazione motori. Istruzione minima: ScuolaSecondariaPrimoGrado. Richiesta disponibilitÃ  per eventuali trasferte o turni. Azienda in forte crescita cerca personale qualificato.;1
Verniciatura di pareti e superfici;Pittore edile - Competenze chiave: utilizzo pistole a spruzzo, tecniche di finitura. Istruzione minima: Specializzazione. Buona conoscenza delle normative di sicurezza e qualitÃ . Azienda in forte crescita cerca personale qualificato.;1
Manutenzione del verde e giardinaggio;Giardiniere - Competenze chiave: utilizzo attrezzature da giardino (decespugliatori, Competenze richieste: Potatura alberi e siepi. Istruzione minima: Specializzazione. Aggiornamento costante sulle nuove tecnologie e strumenti del settore. Azienda in forte crescita cerca personale qualificato.;1
Manutenzione di ascensori;Tecnico manutentore ascensori - Competenze chiave: Competenze richieste: Diagnosi e riparazione impianti di sollevamento, utilizzo software di programmazione PLC. Istruzione minima: ScuolaPrimaria. Precisione e attenzione ai dettagli richiesti per il ruolo. Azienda in forte crescita cerca personale qualificato.;1
Montaggio di mobili;Montatore mobili -  Competenze chiave: assemblaggio su misura, utilizzo attrezzi manuali ed elettrici. Istruzione minima: Laurea. Gradita esperienza su progetti simili in contesti industriali. Azienda in forte crescita cerca personale qualificato.;1
Riparazione di dispositivi elettronici;Tecnico riparazione elettrodomestici ;1
Installazione di climatizzatori;Tecnico installatore di impianti di climatizzazione residenziale;1
Sostituzione di piastrelle e pavimenti;Operaio specializzato in posa di piastrelle e pavimentazioni;1
Pulizia di case e abitazioni;Addetto/a alle pulizie domestiche per famiglie private;1
Pulizia di uffici e locali commerciali;Addetto alle pulizie per uffici e aziende;1
Sanificazione di ambienti;Addetto alla sanificazione di strutture ospedaliere;1
Lavaggio e stiratura di indumenti;Addetto/a lavanderia industriale – Stiratura e lavaggio professionale;1
Organizzazione degli spazi in casa;Consulente per organizzazione e decluttering domestico;1
Pulizia di grandi superfici come magazzini;Addetto/a alle pulizie industriali per grandi magazzini;1
Pulizia e cura di tappeti e tessuti delicati;Addetto alla pulizia professionale di tappeti e moquette per abitazioni;1
Servizio di pulizia post-ristrutturazione;Addetto/a alle pulizie specializzato in rimozione polvere e detriti post-cantiere;1
Preparazione di pasti casalinghi;Cuoco/a per preparazione pasti a domicilio;1
Panificazione e preparazione di dolci;Pasticcere esperto in dolci da forno e torte artigianali;1
Cucina internazionale (es. sushi, cucina messicana);Cuoco specializzato in cucina giapponese per ristorante sushi;1
Preparazione di catering per eventi;Chef specializzato in catering per matrimoni e banchetti;1
Barista e preparazione di cocktail;Barista esperto per caffetteria e cocktail bar;1
Servizio ai tavoli;Addetto sala per bistrot - servizio clienti e gestione comande;1
Gestione di ristoranti e cucine;Responsabile di ristorante con esperienza nella gestione dello staff e fornitori;1
Conoscenza di diete speciali (vegana, senza glutine);Nutrizionista specializzato in diete senza glutine e vegane;1
Programmazione in Python;Sviluppatore backend esperto in Python e Django;1
Programmazione in JavaScript;Sviluppatore Frontend specializzato in JavaScript e React;1
Creazione di siti web (HTML/CSS);Sviluppatore front-end con esperienza in HTML, CSS e JavaScript;1
Sviluppo di applicazioni mobile;Sviluppatore iOS/Android per startup tecnologica;1
Analisi dei dati con Excel o Power BI;Data Analyst con esperienza in reporting avanzato su Power BI;1
Automazione dei processi con script;Sviluppatore Python per automazione di task aziendali;1
Sviluppo di videogiochi;Sviluppatore Unity 3D per studio di videogiochi indie;1
Configurazione di reti informatiche;Tecnico di rete per configurazione e manutenzione di infrastrutture IT;1
Sicurezza informatica;Esperto in cybersecurity per protezione reti aziendali;1
Creazione di database;Sviluppatore SQL per progettazione e ottimizzazione di database aziendali;1
Assistenza tecnica hardware/software;Tecnico informatico per supporto hardware e software a livello aziendale;1
Utilizzo di strumenti CAD;Progettista CAD per la realizzazione di disegni tecnici in ambito ingegneristico;1
Progettazione grafica (Photoshop, Illustrator);Graphic Designer con esperienza in creazione di contenuti visivi per brand e marketing;1
Progettazione di interni;Interior designer per progettazione e arredamento di spazi residenziali moderni;1
Disegno tecnico e industriale;Disegnatore tecnico CAD per progettazione di componenti industriali;1
Progettazione 3D (Blender, AutoCAD);Progettista 3D per sviluppo di modelli architettonici e design di interni;1
Fotografia professionale;Fotografo per servizi di moda e pubblicità in studi fotografici di alto livello;1
Editing video (Premiere, Final Cut);Video Editor per la creazione di contenuti pubblicitari e promozionali;1
Creazione di loghi e brand identity;Graphic Designer per sviluppo di loghi e identità visive aziendali;1
Progettazione di materiali pubblicitari;Grafico pubblicitario per la creazione di volantini e brochure;1
Creazione di contenuti per social media;Social Media Manager per sviluppo e gestione di contenuti digitali;1
Produzione musicale;Tecnico del suono per registrazione e mixaggio in studio;1
Gestione di campagne pubblicitarie;Digital Marketing Manager per la pianificazione e gestione di campagne online;1
Creazione di contenuti per blog;Copywriter esperto per redazione di articoli SEO-oriented;1
Scrittura SEO per il web;Content Manager con esperienza nella scrittura SEO per blog aziendali;1
Analisi di mercato;Analista di mercato per valutare trend, segmentazioni e opportunità in contesti globali.;1
Gestione di account social media;Social Media Manager per la gestione e crescita della presenza online aziendale;1
Pianificazione di strategie di marketing digitale;Digital Marketing Manager per sviluppo di strategie online multicanale;1
Email marketing;Digital Marketing Specialist con focus su campagne email e automazione;1
Gestione di relazioni con i clienti (CRM);Account Manager per gestione e fidelizzazione clienti aziendali;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;Digital Marketing Specialist con esperienza in campagne su Google Ads e Facebook Ads;1
Creazione di newsletter;Copywriter specializzato nella creazione di newsletter aziendali efficaci;1
Scrittura creativa e narrativa;Copywriter per la creazione di contenuti pubblicitari persuasivi;1
Redazione di articoli giornalistici;Giornalista per redazione di articoli su attualità e politica;1
Traduzione di documenti in lingue straniere;Traduttore professionista per documenti legali e contrattuali;1
Revisione e correzione di testi;Editor di contenuti per revisione e correzione di articoli online;1
Scrittura di manuali tecnici;Tecnico documentale per la creazione di manuali di utilizzo software;1
Scrittura accademica e tesi di laurea;Redattore accademico per supporto nella stesura di tesi di laurea e articoli scientifici;1
Scrittura di sceneggiature;Sceneggiatore per film d'autore, esperienza in scrittura creativa e narrazione visiva;1
Insegnamento di materie scolastiche (matematica, italiano);Insegnante di matematica e italiano per scuola secondaria di primo grado;1
Tutoraggio per studenti universitari;Tutor universitario per materie scientifiche (matematica, fisica);1
Assistenza ai compiti per bambini;Educatore/educatrice per aiuto compiti e supporto scolastico a bambini delle scuole primarie;1
Insegnamento di lingue straniere;Docente di inglese per scuola secondaria;1
Lavorare con bambini e animatori per eventi;Animatore per feste di compleanno e eventi per bambini;1
Supporto educativo per bambini con disabilità;Educatore specializzato per bambini con bisogni educativi speciali;1
Lezioni di musica (pianoforte, chitarra);Insegnante di pianoforte per scuola di musica privata;1
Lezioni di sport o personal trainer;Personal trainer per schede di allenamento personalizzate;1
Creazione di corsi online;Instructional Designer per sviluppo di corsi e-learning interattivi;1
Lavorazione del legno;Falegname esperto per produzione di mobili artigianali;1
Creazione di gioielli artigianali;Orafo artigianale per realizzazione di gioielli su misura;1
Cucito e riparazione di abiti;Sarta esperta per riparazioni e modifiche abiti su misura;1
Decorazione di interni;Interior Designer per progettazione di ambienti residenziali e commerciali;1
Falegnameria su misura;Falegname specializzato in arredi personalizzati per interni;1
Realizzazione di sculture o opere d’arte;Scultore per produzione di opere in marmo e bronzo;1
Restauro di mobili antichi;Restauratore di mobili antichi per laboratorio artigianale;1
Origami o arti decorative;Artigiano specializzato in creazione di origami e decorazioni personalizzate;1
Assistenza a persone anziane;Operatore socio-sanitario per assistenza domiciliare a persone anziane;1
Cura e assistenza a persone con disabilità;Assistente sociale per supporto a persone con disabilità motorie;1
Massaggi e trattamenti benessere;Massaggiatore/a per centro benessere con specializzazione in massaggi rilassanti e decontratturanti;1
Consulenza nutrizionale;Nutrizionista per supporto personalizzato a pazienti con malattie metaboliche;1
Consulenza per fitness e allenamenti personalizzati;Personal Trainer per programmi di allenamento personalizzati in palestra e a domicilio;1
Babysitting e cura di bambini piccoli;Babysitter part-time per assistenza e gioco con bambini da 0 a 5 anni;1
Coaching personale e motivazionale;Specialista in coaching motivazionale per giovani professionisti;1
Interpretariato in tempo reale;Interprete simultaneo per conferenze internazionali;1
Traduzione simultanea durante eventi;Traduttore simultaneo per conferenze internazionali in ambito medico;1
Insegnamento di italiano per stranieri;Insegnante di italiano per stranieri in ambiente aziendale, per corsi intensivi di lingua;1
Traduzione testi tecnici in inglese, francese, ecc.;Traduttore freelance per testi tecnici e ingegneristici in inglese, spagnolo e francese;1
Supporto per esami di certificazioni linguistiche;Tutor per preparazione esami di certificazioni linguistiche (IELTS, TOEFL);1
Creazione di contenuti multilingue per aziende;Content Creator con esperienza in scrittura e traduzione di contenuti per mercati internazionali;1
Organizzazione di eventi e matrimoni;Wedding Planner esperto per la creazione e gestione di matrimoni da sogno;1
Gestione di team e progetti complessi;Project Manager per coordinamento di progetti di trasformazione digitale;1
Pianificazione logistica e trasporti;Responsabile Logistica per ottimizzazione dei flussi di trasporto nazionale e internazionale;1
Saldatura - ScuolaPrimaria;Insegnante di saldatura per scuola primaria con formazione pratica;1
Riparazione di elettrodomestici - ScuolaPrimaria;Tecnico esperto in riparazione di elettrodomestici per scuole primarie;1
Manutenzione di impianti elettrici;Tecnico manutentore di impianti elettrici per aziende industriali;1
Manutenzione di impianti idraulici;Tecnico idraulico per installazione e manutenzione di impianti civili e industriali;1
Riparazione di veicoli;Meccanico specializzato in manutenzione di automobili e motocicli;1
Verniciatura di pareti e superfici;Verniciatore industriale per capannoni e strutture metalliche;1
Manutenzione del verde e giardinaggio;Giardiniere professionista per la cura di parchi pubblici e privati;1
Manutenzione di ascensori;Tecnico manutentore di ascensori per interventi di riparazione e controllo sicurezza;1
Montaggio di mobili;Falegname specializzato in assemblaggio e montaggio di mobili su misura;1
Riparazione di dispositivi elettronici;Tecnico riparatore di smartphone e tablet in centro assistenza;1
Installazione di climatizzatori;Manutentore per impianti di raffreddamento industriale;1
Sostituzione di piastrelle e pavimenti;Piastrellista esperto per ristrutturazioni di interni;1
Pulizia di case e abitazioni;Collaboratore domestico per pulizie e gestione della casa;1
Pulizia di uffici e locali commerciali;Operatore di sanificazione per ambienti di lavoro;1
Sanificazione di ambienti;Tecnico per la sanificazione e disinfezione di uffici e aziende;1
Lavaggio e stiratura di indumenti;Operatore di lavanderia per hotel – Pulizia e trattamento tessuti;1
Organizzazione degli spazi in casa;Specialista in home staging per vendita immobili;1
Pulizia di grandi superfici come magazzini;Operatore di sanificazione per centri logistici e depositi;1
Pulizia e cura di tappeti e tessuti delicati;Tecnico specializzato in lavaggio e trattamento tessuti pregiati;1
Servizio di pulizia post-ristrutturazione;Impresa di pulizie cerca operatori per interventi post-ristrutturazione;1
Preparazione di pasti casalinghi;Addetto/a alla cucina per casa di riposo;1
Panificazione e preparazione di dolci;Panettiere per produzione di pane e prodotti da forno artigianali;1
Cucina internazionale (es. sushi, cucina messicana);Chef esperto in cucina messicana e latino-americana;1
Preparazione di catering per eventi;Addetto alla preparazione di buffet per eventi aziendali;1
Barista e preparazione di cocktail;Bartender per locale notturno con esperienza in mixology;1
Servizio ai tavoli;Cameriere in hotel 4 stelle - servizio colazione e cena;1
Gestione di ristoranti e cucine;Direttore di sala per ristorante di alto livello;1
Conoscenza di diete speciali (vegana, senza glutine);Chef per ristorante vegano e senza glutine;1
Programmazione in Python;Data Scientist con conoscenza di Python e librerie di Machine Learning;1
Programmazione in JavaScript;Web Developer esperto in JavaScript, HTML e CSS;1
Creazione di siti web (HTML/CSS);Web designer per creazione di landing page responsive;1
Sviluppo di applicazioni mobile;Mobile Developer esperto in Swift e Kotlin;1
Analisi dei dati con Excel o Power BI;Specialista in Business Intelligence per analisi aziendali;1
Automazione dei processi con script;DevOps Engineer per gestione CI/CD con script Bash;1
Sviluppo di videogiochi;Programmatore Unreal Engine per giochi AAA;1
Configurazione di reti informatiche;Network Engineer specializzato in reti aziendali e sicurezza;1
Sicurezza informatica;Analista di sicurezza IT per monitoraggio e prevenzione attacchi;1
Creazione di database;Database Administrator per gestione di database MySQL e PostgreSQL;1
Assistenza tecnica hardware/software;Help Desk Specialist per assistenza tecnica su software e dispositivi hardware;1
Utilizzo di strumenti CAD;Architetto con esperienza in modellazione 3D e progettazione tramite software CAD;1
Progettazione grafica (Photoshop, Illustrator);Designer grafico freelance per creazione di loghi e identità visive;1
Progettazione di interni;Architetto d'interni per la realizzazione di layout innovativi per uffici e spazi aziendali;1
Disegno tecnico e industriale;Ingegnere meccanico con competenze in disegno 3D e modellazione industriale;1
Progettazione 3D (Blender, AutoCAD);Designer industriale con esperienza in modellazione 3D e rendering fotorealistici;1
Fotografia professionale;Fotografo di eventi specializzato in matrimoni, feste ed eventi sociali;1
Editing video (Premiere, Final Cut);Montatore video per documentari e reportage giornalistici;1
Creazione di loghi e brand identity;Esperto in branding e comunicazione visiva per startup e PMI;1
Progettazione di materiali pubblicitari;Graphic Designer per sviluppo di materiali promozionali in-store;1
Creazione di contenuti per social media;Copywriter creativo per post e campagne sui social media;1
Produzione musicale;Compositore e produttore per colonne sonore di film e videogiochi;1
Gestione di campagne pubblicitarie;Esperto in Google Ads e Meta Ads per strategie pubblicitarie aziendali;1
Creazione di contenuti per blog;Content Creator per blog di tecnologia e innovazione digitale;1
Scrittura SEO per il web;Copywriter SEO per la creazione di contenuti ottimizzati per motori di ricerca;1
Analisi di mercato;Consulente strategico per studi di mercato e analisi competitiva nel settore retail.;1
Gestione di account social media;Esperto in content marketing per creazione di strategie social su Instagram e Facebook;1
Pianificazione di strategie di marketing digitale;Esperto SEO e SEM per ottimizzazione della visibilità online;1
Email marketing;Email Marketing Manager per sviluppo strategie di newsletter aziendali;1
Gestione di relazioni con i clienti (CRM);Customer Success Manager con esperienza in CRM e assistenza post-vendita;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;PPC Manager per gestione e ottimizzazione di annunci a pagamento su piattaforme pubblicitarie online;1
Creazione di newsletter;Digital Marketer con esperienza in email marketing e automazione di newsletter;1
Scrittura creativa e narrativa;Sceneggiatore per serie TV e film con esperienza in storytelling;1
Redazione di articoli giornalistici;Copywriter per la produzione di contenuti editoriali per riviste online;1
Traduzione di documenti in lingue straniere;Esperto in traduzione tecnica per manuali e documentazione aziendale;1
Revisione e correzione di testi;Correttore di bozze per testi editoriali e pubblicazioni accademiche;1
